Interval,Max_Velocity,Acceleration,Collision_Distance
81,69.74781,77.381516,25.405605
81,85.10312,65.561775,12.097389
82,80.51065,83.83613,13.099091
83,78.05248,100.0,12.838203
84,76.29483,54.826736,15.214219
84,70.83295,100.0,18.089123
85,70.53736,100.0,12.0
86,75.392136,74.82306,19.151243
87,76.53897,86.11785,17.828566
87,80.66196,43.07557,12.0
88,90.0,81.72193,15.76403
89,90.0,84.982574,18.063465
90,90.0,67.56728,20.872473
90,77.85506,81.83003,18.298397
91,86.640686,54.38663,15.623308
92,77.99821,98.25395,16.895067
93,90.0,88.07982,21.727093
93,69.078255,75.27819,18.164352
94,90.0,99.0203,12.0
95,88.36122,74.509415,12.0
96,84.474396,76.57198,12.0
96,86.60942,77.41118,22.079042
97,62.85975,74.54151,29.919786
98,64.75987,94.47535,15.237144
99,79.16889,79.45957,20.00856
99,84.39258,87.93172,12.0
100,90.0,64.03748,12.021635
101,83.537315,81.22104,12.0
102,78.8545,80.29233,20.200012
102,84.38946,90.72447,19.80346
103,82.15603,57.08214,12.0
104,69.04458,68.331894,21.450161
104,72.661354,75.88633,16.203068
105,76.55065,88.705,19.558048
106,59.89865,66.40708,21.439346
107,74.903625,84.642975,17.780266
107,90.0,98.97122,14.543167
108,90.0,70.291565,14.524615
109,90.0,85.471115,27.746925
110,73.56612,71.61142,12.0
110,90.0,69.72348,12.609697
111,88.68815,57.25183,14.520578
112,82.73981,83.1417,25.166512
113,63.19005,62.71605,24.381903
113,80.776115,97.53681,18.816885
114,90.0,58.097336,13.018079
115,90.0,100.0,12.0
116,90.0,100.0,21.18205
116,74.539894,66.34528,19.239973
117,75.87699,59.259235,14.080423
118,90.0,82.35185,17.04377
118,82.849174,75.97123,16.690128
119,90.0,70.369225,12.82698
120,75.82729,67.78753,12.018398
121,70.85599,82.77414,14.103071
121,71.16497,81.17688,12.0
122,85.16228,80.96524,18.560112
123,74.51552,89.86679,17.732601
124,79.696396,87.78341,13.839851
124,90.0,68.03527,12.0
125,70.28913,74.18563,17.909828
126,66.522964,63.034233,12.0
126,90.0,86.94584,13.460852
127,76.16002,68.01272,12.481225
128,79.973854,93.38096,19.27819
129,78.198875,95.09796,18.673027
129,90.0,96.464386,16.292196
130,79.74709,68.26149,16.22062
131,85.99888,50.381332,12.0
131,68.81653,100.0,16.825205
132,87.55393,58.02098,16.013407
133,90.0,74.03954,20.042633
133,81.99141,64.17973,12.0
134,83.19752,100.0,15.447348
135,79.28974,76.10482,15.850202
135,59.132153,77.106125,16.169601
136,56.398132,74.36932,18.773933
137,74.51926,70.0724,13.34565
138,76.58529,69.978195,12.033423
138,87.485916,88.63412,13.326338
139,79.35853,57.394516,17.13356
140,77.7356,70.60169,12.0
140,86.21486,71.8789,16.419285
141,90.0,67.34387,14.599923
142,90.0,63.29823,19.50094
143,74.838264,70.27554,12.0
143,86.83673,75.929306,15.109738
144,80.762825,63.91227,18.757952
145,88.97017,89.54797,16.176586
146,69.5913,57.812084,20.689821
146,90.0,94.77972,21.948406
147,73.58848,68.97064,13.986201
148,78.91631,78.64955,22.109896
149,82.04067,100.0,12.0
149,84.79423,70.14658,12.376769
150,85.147446,72.3972,16.619785
151,90.0,80.7172,18.841003
152,84.8171,79.37219,12.78718
152,73.8025,92.6694,17.861115
153,89.32154,71.24774,29.043934
154,80.91236,46.112473,17.208479
155,79.714386,90.853264,14.646126
155,79.57624,74.01734,15.010062
156,90.0,40.69318,17.849676
157,73.03079,61.069202,19.727913
158,77.82889,84.329666,13.401405
158,85.48135,54.786995,12.0
159,76.65117,84.6623,18.11354
160,90.0,78.95062,22.18141
161,73.66642,73.69225,12.0
161,84.27016,100.0,16.49165
162,90.0,86.11894,15.78426
163,87.984344,80.48345,12.291667
164,69.98229,100.0,15.404556
164,76.99411,100.0,12.735407
165,88.1487,65.479095,13.801073
166,80.85718,98.81814,18.20281
167,70.509544,100.0,19.896076
167,77.92742,93.37712,15.616962
168,89.652756,81.7908,12.0
169,90.0,99.91881,13.185844
170,80.95552,85.99213,19.453293
170,90.0,73.72069,22.856388
171,90.0,83.47064,12.0
172,87.75258,56.126484,12.0
173,90.0,59.390476,19.070028
173,78.90851,58.664482,12.895338
174,80.95686,68.24662,13.848412
175,68.036575,38.58998,18.51906
176,82.875854,97.401924,12.0
176,90.0,87.89336,13.573059
177,75.59364,83.08066,14.36311
178,81.818825,79.84283,16.062668
179,84.78602,79.16475,18.736511
179,85.07478,89.60544,15.4023075
180,90.0,63.202736,20.91706
181,79.02588,91.37263,14.794329
182,78.86588,59.020077,16.395437
